step,window,fill_count,fill_probability,fill_total,mean_window,sd_window,optional_reset_rate,forced_reset_rate
18,1,12844,0.16998637,75559,3.57904419,1.78930880,0.23061000,0.01380000
18,2,10061,0.13315422,75559,3.57904419,1.78930880,0.23061000,0.01380000
18,3,12286,0.16260141,75559,3.57904419,1.78930880,0.23061000,0.01380000
18,4,15850,0.20976985,75559,3.57904419,1.78930880,0.23061000,0.01380000
18,5,17196,0.22758374,75559,3.57904419,1.78930880,0.23061000,0.01380000
18,6,2142,0.02834871,75559,3.57904419,1.78930880,0.23061000,0.01380000
18,7,3067,0.04059080,75559,3.57904419,1.78930880,0.23061000,0.01380000
18,8,2113,0.02796490,75559,3.57904419,1.78930880,0.23061000,0.01380000
19,1,13916,0.18108474,76848,3.38723194,1.72070961,0.22178000,0.00974000
19,2,11703,0.15228763,76848,3.38723194,1.72070961,0.22178000,0.00974000
19,3,13932,0.18129294,76848,3.38723194,1.72070961,0.22178000,0.00974000
19,4,16979,0.22094264,76848,3.38723194,1.72070961,0.22178000,0.00974000
19,5,14505,0.18874922,76848,3.38723194,1.72070961,0.22178000,0.00974000
19,6,1608,0.02092442,76848,3.38723194,1.72070961,0.22178000,0.00974000
19,7,2545,0.03311732,76848,3.38723194,1.72070961,0.22178000,0.00974000
19,8,1660,0.02160108,76848,3.38723194,1.72070961,0.22178000,0.00974000
20,1,14457,0.18714321,77251,3.24575734,1.63110000,0.21975000,0.00774000
20,2,12409,0.16063222,77251,3.24575734,1.63110000,0.21975000,0.00774000
20,3,15348,0.19867704,77251,3.24575734,1.63110000,0.21975000,0.00774000
20,4,18701,0.24208101,77251,3.24575734,1.63110000,0.21975000,0.00774000
20,5,11804,0.15280061,77251,3.24575734,1.63110000,0.21975000,0.00774000
20,6,1343,0.01738489,77251,3.24575734,1.63110000,0.21975000,0.00774000
20,7,1975,0.02556601,77251,3.24575734,1.63110000,0.21975000,0.00774000
20,8,1214,0.01571501,77251,3.24575734,1.63110000,0.21975000,0.00774000
21,1,14866,0.18979891,78325,3.16165975,1.55697442,0.21088000,0.00587000
21,2,12622,0.16114906,78325,3.16165975,1.55697442,0.21088000,0.00587000
21,3,16630,0.21232046,78325,3.16165975,1.55697442,0.21088000,0.00587000
21,4,20540,0.26224066,78325,3.16165975,1.55697442,0.21088000,0.00587000
21,5,10025,0.12799234,78325,3.16165975,1.55697442,0.21088000,0.00587000
21,6,1100,0.01404405,78325,3.16165975,1.55697442,0.21088000,0.00587000
