side,window,step,count,probability
2,5,27,262,0.00262000
2,5,28,213,0.00213000
2,5,29,143,0.00143000
2,5,30,162,0.00162000
2,5,31,159,0.00159000
2,5,32,183,0.00183000
2,5,33,252,0.00252000
2,5,34,287,0.00287000
2,5,35,341,0.00341000
2,5,36,419,0.00419000
2,5,37,542,0.00542000
2,5,38,853,0.00853000
2,5,39,856,0.00856000
2,5,40,1012,0.01012000
2,5,41,1187,0.01187000
2,5,42,1481,0.01481000
2,5,43,1787,0.01787000
2,5,44,2216,0.02216000
2,6,0,0,0.00000000
2,6,1,0,0.00000000
2,6,2,0,0.00000000
2,6,3,0,0.00000000
2,6,4,0,0.00000000
2,6,5,0,0.00000000
2,6,6,1,0.00001000
2,6,7,3,0.00003000
2,6,8,12,0.00012000
2,6,9,16,0.00016000
2,6,10,6,0.00006000
2,6,11,17,0.00017000
2,6,12,29,0.00029000
2,6,13,36,0.00036000
2,6,14,24,0.00024000
2,6,15,22,0.00022000
2,6,16,21,0.00021000
2,6,17,8,0.00008000
2,6,18,3,0.00003000
2,6,19,6,0.00006000
2,6,20,6,0.00006000
2,6,21,4,0.00004000
2,6,22,4,0.00004000
2,6,23,14,0.00014000
2,6,24,9,0.00009000
2,6,25,18,0.00018000
2,6,26,20,0.00020000
2,6,27,13,0.00013000
2,6,28,19,0.00019000
2,6,29,11,0.00011000
2,6,30,15,0.00015000
2,6,31,20,0.00020000
2,6,32,16,0.00016000
2,6,33,21,0.00021000
2,6,34,22,0.00022000
2,6,35,15,0.00015000
2,6,36,34,0.00034000
2,6,37,48,0.00048000
2,6,38,102,0.00102000
2,6,39,121,0.00121000
2,6,40,172,0.00172000
2,6,41,191,0.00191000
2,6,42,208,0.00208000
2,6,43,342,0.00342000
2,6,44,480,0.00480000
2,7,0,0,0.00000000
2,7,1,0,0.00000000
2,7,2,0,0.00000000
2,7,3,0,0.00000000
2,7,4,0,0.00000000
2,7,5,0,0.00000000
2,7,6,2,0.00002000
2,7,7,1,0.00001000
2,7,8,2,0.00002000
2,7,9,0,0.00000000
2,7,10,0,0.00000000
2,7,11,1,0.00001000
2,7,12,0,0.00000000
2,7,13,1,0.00001000
2,7,14,0,0.00000000
2,7,15,0,0.00000000
2,7,16,0,0.00000000
2,7,17,0,0.00000000
2,7,18,0,0.00000000
2,7,19,0,0.00000000
2,7,20,0,0.00000000
2,7,21,0,0.00000000
2,7,22,0,0.00000000
2,7,23,0,0.00000000
2,7,24,0,0.00000000
2,7,25,1,0.00001000
2,7,26,1,0.00001000
2,7,27,1,0.00001000
2,7,28,1,0.00001000
2,7,29,1,0.00001000
2,7,30,1,0.00001000
2,7,31,1,0.00001000
2,7,32,0,0.00000000
2,7,33,5,0.00005000
2,7,34,1,0.00001000
2,7,35,0,0.00000000
2,7,36,1,0.00001000
2,7,37,3,0.00003000
2,7,38,4,0.00004000
2,7,39,9,0.00009000
2,7,40,14,0.00014000
2,7,41,16,0.00016000
2,7,42,18,0.00018000
2,7,43,32,0.00032000
2,7,44,39,0.00039000
2,8,0,0,0.00000000
2,8,1,0,0.00000000
2,8,2,0,0.00000000
2,8,3,0,0.00000000
2,8,4,0,0.00000000
2,8,5,0,0.00000000
2,8,6,0,0.00000000
2,8,7,0,0.00000000
2,8,8,0,0.00000000
2,8,9,0,0.00000000
2,8,10,0,0.00000000
2,8,11,0,0.00000000
2,8,12,0,0.00000000
2,8,13,0,0.00000000
2,8,14,0,0.00000000
2,8,15,0,0.00000000
2,8,16,0,0.00000000
2,8,17,0,0.00000000
2,8,18,0,0.00000000
2,8,19,0,0.00000000
2,8,20,0,0.00000000
2,8,21,0,0.00000000
2,8,22,0,0.00000000
2,8,23,0,0.00000000
2,8,24,0,0.00000000
2,8,25,0,0.00000000
2,8,26,0,0.00000000
2,8,27,0,0.00000000
2,8,28,0,0.00000000
2,8,29,0,0.00000000
2,8,30,0,0.00000000
2,8,31,0,0.00000000
2,8,32,0,0.00000000
2,8,33,0,0.00000000
2,8,34,0,0.00000000
2,8,35,0,0.00000000
2,8,36,0,0.00000000
2,8,37,0,0.00000000
2,8,38,0,0.00000000
2,8,39,1,0.00001000
2,8,40,0,0.00000000
2,8,41,1,0.00001000
2,8,42,1,0.00001000
2,8,43,0,0.00000000
2,8,44,4,0.00004000
